headword_english,pos_raw,definition_raw,source_image,source_text,decision,notes
"Bristle","n.","boéa ba kolohe; v. ho hlant&a boda, tke. tlama.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Broad","adj.","@ sephara, batsi, hébe-hébé, phatlale-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Broadly","adv.","phatlalatsa.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Broil","v.","(over the fire) ho besa mashaleng; (from heat) ho futhumala ha-mpe","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Broken","adj.","e robehileng, e shuéleng, e pshatlehi-leng.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Broken-hearted","adj.","e qha-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Brooch","n.","sehokélo, sepele. °","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Brood","n.","malinyane; v ho alama; to brood over, ho nahana. Brook, 1 molapo.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Broom","n.","lefitlo. Broth,. moro.","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
"Brother","n.","(of a male) ngua-nabo; (of a female) kha-","/Users/bonzysalesman/Project/PUO-AI/ocr_splits/casalis_b/page_030_left.png","page_030_left.txt","",""
